author,content,created_at,headline,id,images,source,summary,symbols,updated_at,url
Aniket Verma,,2024-12-30T05:18:09Z,"Bitcoin, Dogecoin Trail These 2024 Crypto Champions: Here Are The Top Performers Of The Year",42717267,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/30/2024-Green-Arrows-Going-Up-Stocks-Blue-B.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/30/2024-Green-Arrows-Going-Up-Stocks-Blue-B.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/30/2024-Green-Arrows-Going-Up-Stocks-Blue-B.jpeg'}]",benzinga,"The cryptocurrency landscape witnessed a remarkable transformation in 2024, with several coins attracting traders&#39; attention due to their meteoric gains.","['BTC', 'BTCUSD', 'DOGEUSD', 'ETHUSD', 'PEPEUSD', 'SOLUSD', 'XRPUSD']",2024-12-30T05:18:10Z,https://www.benzinga.com/24/12/42717267/2024s-cryptocurrency-champions-these-top-performers-surpass-bitcoin-in-a-year-of-unprecedented-gains
Aniket Verma,,2024-12-30T02:32:16Z,"Bitcoin, Dogecoin Dip, Ethereum Gains As 'Santa Rally' Loses Steam: Here's Why Things Could Look Up For BTC In 2025",42716988,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/29/Cryptocurrency-Photo-by-Avi-Rozen-on-Shu.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/29/Cryptocurrency-Photo-by-Avi-Rozen-on-Shu.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/29/Cryptocurrency-Photo-by-Avi-Rozen-on-Shu.jpeg'}]",benzinga,Leading cryptocurrencies declined Sunday as the &#34;Santa Claus Rally&#34; faded heading into the New Year.,"['BTC', 'BTCUSD', 'DOGEUSD', 'ETHUSD']",2024-12-30T02:32:17Z,https://www.benzinga.com/24/12/42716988/bitcoin-dogecoin-dip-ethereum-gains-as-santa-rally-loses-steam-leading-analyst-explains-why-93k-is-crucial-for-apex-crypto
Aniket Verma,,2024-12-27T01:52:55Z,"Bitcoin, Ethereum, Dogecoin Pull Back After Christmas Rally: Top Analyst Reveals What Happens Next After BTC Fails To Record Daily Close Above $100K",42696705,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/26/Dogs--Cats-And-Frogs--Cryptos-Wildest-Wi.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/26/Dogs--Cats-And-Frogs--Cryptos-Wildest-Wi.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/26/Dogs--Cats-And-Frogs--Cryptos-Wildest-Wi.jpeg'}]",benzinga,Leading cryptocurrencies fell Thursday after a festive surge on Christmas gave way to profit-taking.,"['BTC', 'BTCUSD', 'DOGEUSD', 'ETHUSD']",2024-12-27T01:52:56Z,https://www.benzinga.com/24/12/42696705/bitcoin-ethereum-dogecoin-retreat-after-christmas-surge-top-analyst-highlights-what-btc-needs-to-do-to-invalidate-bearish-outlook
Pooja Rajkumari,,2024-12-26T11:31:05Z,MicroStrategy Stock Tumbles Over 4% In Thursday Premarket: What's Going On?,42681234,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/26/MicroStrategy-Inc--MSTR.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/26/MicroStrategy-Inc--MSTR.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/26/MicroStrategy-Inc--MSTR.jpeg'}]",benzinga,Shares of MicroStrategy Inc. (NASDAQ:MSTR) dropped by 4.08% following the company’s announcement to issue more shares to finance additional Bitcoin (CRYPTO: BTC) acquisitions.,"['BTC', 'BTCUSD', 'DOGEUSD', 'ETHUSD', 'MSTR', 'SOLUSD']",2024-12-26T11:31:07Z,https://www.benzinga.com/markets/equities/24/12/42681234/microstrategy-stock-tumbles-over-4-in-thursday-premarket-whats-going-on
Aniket Verma,,2024-12-26T02:31:27Z,"Bitcoin, Ethereum Rise, Dogecoin Slides Amid Positive Christmas Sentiment: Analyst Cautions $110K Target For BTC Possible Only When...",42679707,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/25/Cryptocurrency-Photo-by-SvetlanaParnikov.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/25/Cryptocurrency-Photo-by-SvetlanaParnikov.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/25/Cryptocurrency-Photo-by-SvetlanaParnikov.jpeg'}]",benzinga,"Leading cryptocurrencies remained rock steady on Christmas day, retaining advances made the day before.","['BTC', 'BTCUSD', 'DOGEUSD', 'ETHUSD']",2024-12-26T02:31:28Z,https://www.benzinga.com/24/12/42679707/bitcoin-ethereum-gain-dogecoin-slips-as-sentiment-turns-positive-on-christmas-analyst-throws-reality-check-for-overexcited-participants
Kaustubh Bagalkote,,2024-12-25T09:48:27Z,Is Stock Market Open Or Closed On Christmas Day 2024? Here Is What You Can Trade Today,42677225,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/25/Wall-Street-Cautiously-Optimistic-About-.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/25/Wall-Street-Cautiously-Optimistic-About-.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/25/Wall-Street-Cautiously-Optimistic-About-.jpeg'}]",benzinga,"U.S. financial markets will observe the Christmas holiday with modified trading hours, marking a brief pause in what has been an eventful year for Wall Street.","['BAC', 'BTC', 'BTCUSD', 'DOGEUSD', 'ETHUSD', 'JPM', 'QQQ', 'SPY']",2024-12-25T09:48:28Z,https://www.benzinga.com/markets/equities/24/12/42677225/is-the-stock-market-open-or-closed-on-christmas-day-2024-here-is-what-you-can-trade-today
Aniket Verma,,2024-12-24T01:47:20Z,"Bitcoin Flat, Ethereum, Dogecoin Spike Ahead Of Christmas: Analyst Says Decline In BTC Dominance Leaves 'Room For Altcoins To Pick Up'",42664692,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/23/Ethereum-Coin-And-Bitcoin-In-Background-_0.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/23/Ethereum-Coin-And-Bitcoin-In-Background-_0.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/23/Ethereum-Coin-And-Bitcoin-In-Background-_0.jpeg'}]",benzinga,Bitcoin moved sideways while the altcoin market rallied significantly on Monday as traders pivoted away from the leading cryptocurrency ahead of Christmas.,"['BTC', 'BTCUSD', 'DOGEUSD', 'ETHUSD']",2024-12-24T01:47:21Z,https://www.benzinga.com/trading-ideas/movers/24/12/42664692/bitcoin-flat-ethereum-dogecoin-spike-ahead-of-christmas-analyst-says-decline-in-btc-dominance-leaves-room-for-altcoins-to-pick-up
Anusuya Lahiri,,2024-12-23T13:30:18Z,EXCLUSIVE: La Rosa Adds Bitcoin and Crypto Payment Options For Network Agents,42646182,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/23/LRHC-Logo.png'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/23/LRHC-Logo.png'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/23/LRHC-Logo.png'}]",benzinga,"Real estate company La Rosa Holdings Corp (NASDAQ: LRHC) to offer cryptocurrency payments for agents, tapping into growing demand for alternative methods.","['BTC', 'LRHC']",2024-12-23T13:30:19Z,https://www.benzinga.com/markets/cryptocurrency/24/12/42646182/exclusive-la-rosa-adds-bitcoin-and-crypto-payment-options-to-its-real-estate-agents
Aniket Verma,,2024-12-23T01:59:39Z,"Bitcoin, Ethereum, Dogecoin Lose Sheen Ahead Of Holidays But Top Analyst Points To This Indicator, Says BTC Will Hit A Top Above $168K",42639832,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/22/Dogecoin-Doge--Ethereum-Eth--Bitcoin-Btc.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/22/Dogecoin-Doge--Ethereum-Eth--Bitcoin-Btc.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/22/Dogecoin-Doge--Ethereum-Eth--Bitcoin-Btc.jpeg'}]",benzinga,Leading cryptocurrencies traded in the red on Sunday as risk aversion intensified ahead of the holidays.,"['BTC', 'BTCUSD', 'DOGEUSD', 'ETHUSD']",2024-12-23T01:59:41Z,https://www.benzinga.com/trading-ideas/movers/24/12/42639832/bitcoin-ethereum-dogecoin-lose-sheen-ahead-of-holidays-but-top-analyst-points-to-this-indicator-says-btc-will-hit-a-top-above-168k
Rishabh Mishra,,2024-12-22T17:34:51Z,MicroStrategy Stock Declines Over 14% Amid Heightened Volatility Over S&P 500 Inclusion Concerns: Here's What Is Happening,42638575,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/22/MicroStrategy-Inc-.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/22/MicroStrategy-Inc-.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/22/MicroStrategy-Inc-.jpeg'}]",benzinga,Michael Saylor‘s MicroStrategy Inc. (NASDAQ:MSTR) fell in the last five sessions amid heightened volatility due to concerns over hurdles in its S&amp;P 500 inclusion and falling Bitcoin (CRYPTO: BTC) ,"['BTC', 'BTCUSD', 'IBIT', 'MSTR']",2024-12-22T17:34:52Z,https://www.benzinga.com/analyst-ratings/analyst-color/24/12/42638575/microstrategy-stock-declines-over-14-amid-heightened-volatility-over-sp-500-inclusion-concerns-heres-what-is-happening
