author,content,created_at,headline,id,images,source,summary,symbols,updated_at,url
Caden Pok,,2024-01-23T17:30:00Z,Donald Trump Sold $2.4 Million Ethereum: Smart Move Or Big Mistake?,36743035,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/27/Hershey--Pa---December-15--2016-Presiden.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/27/Hershey--Pa---December-15--2016-Presiden.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/27/Hershey--Pa---December-15--2016-Presiden.jpeg'}]",benzinga, ,['ETH'],2024-12-27T17:28:09Z,https://www.benzinga.com/markets/cryptocurrency/24/01/36743035/donald-trump-sold-2-4-million-ethereum-smart-move-or-big-mistake
Aniket Verma,,2024-12-16T03:15:54Z,Trump-Backed World Liberty Financial's Purchases Trigger Strong Rally In These DeFi Tokens,42500884,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/15/3-Stocks-To-Buy-As-Trumps-Trade-Policies.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/15/3-Stocks-To-Buy-As-Trumps-Trade-Policies.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/15/3-Stocks-To-Buy-As-Trumps-Trade-Policies.jpeg'}]",benzinga,"World Liberty Financial, a cryptocurrency project backed by President-elect Donald Trump, continued to add momentum to the coins it was purchasing.



What happened: ONDO, a tokenization-themed cryptocurrency, zoomed over 11% to record-breaking highs, becoming the fourth-biggest market gainer over the last 24 hours.","['AAVEUSD', 'ENAUSD', 'ETH', 'ETHUSD', 'LINKUSD', 'ONDOUSD']",2024-12-16T03:15:55Z,https://www.benzinga.com/trading-ideas/movers/24/12/42500884/trump-backed-world-liberty-financials-purchases-trigger-strong-rally-in-these-defi-tokens
Benzinga Neuro,,2024-12-15T13:00:17Z,"Schiff's Advice To Biden, Dogecoin's Potential Surge, Microsoft's Bitcoin Proposal, And More: This Week In Crypto",42499232,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/15/Cryptocurrency-Photo-by-SvetlanaParnikov.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/15/Cryptocurrency-Photo-by-SvetlanaParnikov.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/15/Cryptocurrency-Photo-by-SvetlanaParnikov.jpeg'}]",benzinga,The week was a rollercoaster ride in the cryptocurrency world.,"['BTC', 'BTCUSD', 'DOGEUSD', 'ETH', 'ETHUSD', 'MSFT']",2024-12-15T13:00:18Z,https://www.benzinga.com/markets/cryptocurrency/24/12/42499232/schiffs-advice-to-biden-dogecoins-potential-surge-microsofts-bitcoin-proposal-and-more-this-week-in-crypto
Rounak Jain,,2024-12-14T08:35:46Z,"Crypto Market Predicted To Surge To All-Time Highs By Late 2025, But A 30% Drop In Bitcoin Prices Could Come First",42495782,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/14/Dogecoin-Doge--Ethereum-Eth--Bitcoin-Btc.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/14/Dogecoin-Doge--Ethereum-Eth--Bitcoin-Btc.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/14/Dogecoin-Doge--Ethereum-Eth--Bitcoin-Btc.jpeg'}]",benzinga,"Asset manager VanEck has projected a significant upswing in the cryptocurrency market, anticipating record highs by the end of 2025.","['BTC', 'BTCUSD', 'ETH', 'ETHUSD']",2024-12-14T08:35:47Z,https://www.benzinga.com/24/12/42495782/crypto-market-predicted-to-surge-to-all-time-highs-by-late-2025-but-a-30-drop-in-bitcoin-prices-could-come-first
Aniket Verma,,2024-12-12T04:04:39Z,Trump-Backed World Liberty Financial Bags $10M In Ethereum: What's Going On?,42452819,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/11/Ethereum.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/11/Ethereum.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/11/Ethereum.jpeg'}]",benzinga,"World Liberty Financial, a cryptocurrency project backed by President-elect Donald Trump, purchased Ethereum (CRYPTO: ETH) worth $10 million on Wednesday.","['ETH', 'ETHUSD', 'LINKUSD', 'USDCUSD']",2024-12-12T04:04:40Z,https://www.benzinga.com/markets/cryptocurrency/24/12/42452819/trump-backed-world-liberty-financial-bags-10m-in-ethereum-whats-going-on
Aniket Verma,,2024-12-11T06:34:14Z,"Dogecoin's Cycle Peak Projected $8-10 By Top Trader Amid Pullback, But Here's Why You Should Be Careful",42429730,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/11/Dogecoins-Value-Could-Soar-212-260-Says-.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/11/Dogecoins-Value-Could-Soar-212-260-Says-.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/11/Dogecoins-Value-Could-Soar-212-260-Says-.jpeg'}]",benzinga,"Dogecoin (CRYPTO: DOGE) has taken a sharp U-turn this week amid the broader cryptocurrency market’s decline, but that hasn’t deterred optimists.","['BTCUSD', 'DOGEUSD', 'ETH', 'ETHUSD', 'FETH', 'IBIT']",2024-12-11T06:34:15Z,https://www.benzinga.com/markets/cryptocurrency/24/12/42429730/dogecoins-cycle-peak-projected-8-10-by-top-trader-amid-pullback-but-heres-why-you-should-be-careful
Aniket Verma,,2024-12-11T05:39:40Z,"Goldman Sachs CEO Says Bank Can Consider Bitcoin, Ethereum Spot Trading If Regulations Allow",42429413,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/11/Goldman-Sachs.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/11/Goldman-Sachs.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/11/Goldman-Sachs.jpeg'}]",benzinga,Goldman Sachs Group Inc. (NYSE:GS) CEO David Solomon said on Tuesday that the investment banking giant might explore becoming a spot market maker for leading cryptocurrencies if more regulatory clarity is provided.,"['BTC', 'BTCUSD', 'ETH', 'ETHUSD', 'FETH', 'GS', 'IBIT']",2024-12-11T05:39:41Z,https://www.benzinga.com/markets/cryptocurrency/24/12/42429413/goldman-sachs-ceo-says-bank-can-consider-bitcoin-ethereum-spot-trading-if-regulations-allow
Aniket Verma,,2024-12-06T01:32:19Z,GameStop-Themed Memecoins Explode As Roaring Kitty Returns With Intriguing X Post: GME Coin Shoots Up Over 80%,42355841,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/05/Roaring-Kitty-illustration.png'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/05/Roaring-Kitty-illustration.png'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/05/Roaring-Kitty-illustration.png'}]",benzinga,"Legendary trader Keith Gill, popularly known as Roaring Kitty, returned to social media on Thursday, sparking a wild spike in cryptocurrencies related to GameStop Corp. (NYSE:GME).","['BNBUSD', 'ETH', 'ETHUSD', 'GME']",2024-12-06T01:32:21Z,https://www.benzinga.com/trading-ideas/movers/24/12/42355841/gamestop-themed-memecoins-explode-as-roaring-kitty-returns-with-intriguing-x-post-gme-coin-shoots-up-over-80
Bibhu Pattnaik,,2024-12-01T19:45:49Z,"Gaming Company Bets Big On Bitcoin, Selling Ethereum For $50M Boost",42257446,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/12/01/Ethereum-Coin-And-Bitcoin-In-Background-.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/12/01/Ethereum-Coin-And-Bitcoin-In-Background-.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/12/01/Ethereum-Coin-And-Bitcoin-In-Background-.jpeg'}]",benzinga,Hong Kong-based gaming firm Boyaa Interactive has traded its Ethereum (CRYPTO: ETH) holdings for nearly $50 million in Bitcoin (CRYPTO: BTC).,"['BTCUSD', 'ETH', 'ETHUSD', 'MSTR']",2024-12-01T19:45:51Z,https://www.benzinga.com/markets/cryptocurrency/24/12/42257446/gaming-company-bets-big-on-bitcoin-selling-ethereum-for-50m-boost
Aniket Verma,,2024-11-28T03:40:19Z,Ethereum Rally Gets Overshadowed By Searing Gains In Cheaper Plays: Why Are ENS And ETC Soaring Today?,42228464,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/11/27/Ethereum.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/11/27/Ethereum.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/11/27/Ethereum.jpeg'}]",benzinga,"Ethereum&#39;s (CRYPTO: ETH) handsome rally on Wednesday infused life in its cheaper alternatives, causing them to outperform the marquee asset.","['ENSUSD', 'ETCUSD', 'ETH', 'ETHUSD']",2024-11-28T03:40:21Z,https://www.benzinga.com/trading-ideas/movers/24/11/42228464/ethereum-rally-gets-overshadowed-by-searing-gains-in-cheaper-plays-why-are-ens-and-etc-soaring-today
