author,content,created_at,headline,id,images,source,summary,symbols,updated_at,url
Benzinga Newsdesk,,2024-10-31T20:59:23Z,Trump Sues CBS For $10B Over Harris Interview,41666102,[],benzinga,,"['DJT', 'PARA', 'PARAA', 'SPY']",2024-10-31T20:59:24Z,https://www.benzinga.com/news/24/10/41666102/trump-sues-cbs-for-10b-over-harris-interview
Chris Katje,,2024-10-31T20:32:00Z,These 10 Stocks Were S&P 500's Top Performers In Biden's First Year: Could Trend Continue If Harris Wins 2024 Election?,41665149,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/10/31/White-House-Joe-Biden-Kamala-Harris.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/10/31/White-House-Joe-Biden-Kamala-Harris.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/10/31/White-House-Joe-Biden-Kamala-Harris.jpeg'}]",benzinga,A look at the top 10 performing S&amp;P 500 stocks in 2021 could point to trends to watch if Kamala Harris wins the 2024 election.,"['BBWI', 'DVN', 'F', 'FANG', 'FTNT', 'MRNA', 'MRO', 'NUE', 'NVDA', 'SBNY', 'SPY']",2024-10-31T20:38:03Z,https://www.benzinga.com/general/education/24/10/41665149/these-10-stocks-were-s-p-500s-top-performers-in-bidens-first-year-could-the-trend-continue-if-h
Piero Cingari,,2024-10-31T20:34:34Z,"VIX Index Notches Third-Strongest October Spike In An Election Year, S&P 500 Snaps 5-Month Winning Streak: Why Volatility 'Is Unlikely To Pull Back,' Analyst Says",41665265,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/10/31/Kolkata--India--Dated-07-03-2023--Woman-.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/10/31/Kolkata--India--Dated-07-03-2023--Woman-.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/10/31/Kolkata--India--Dated-07-03-2023--Woman-.jpeg'}]",benzinga,"Excluding the 2008 financial crisis and the 2020 COVID-19 pandemic, October 2024&#39;s surge marks the highest volatility for an election-year.","['MSFT', 'SPY']",2024-10-31T20:34:34Z,https://www.benzinga.com/analyst-ratings/analyst-color/24/10/41665265/vix-index-notches-third-strongest-october-spike-in-an-election-year-s-p-500-snaps-5
Chris Katje,,2024-10-31T19:23:31Z,"Cathie Wood's Ark Innovation, Genomic ETFs Celebrate 10 Years: How Annual Returns Stack Up Against S&P 500",41662950,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/10/31/Responding-To-Regulatory-Scrutiny_0.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/10/31/Responding-To-Regulatory-Scrutiny_0.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/10/31/Responding-To-Regulatory-Scrutiny_0.jpeg'}]",benzinga,The Ark Innovation and Ark Genomic ETFs turn ten years old. A look at the annual returns and current top holdings.,"['ADPT', 'ARKG', 'ARKK', 'CDNA', 'COIN', 'CRSP', 'HOOD', 'IONS', 'NRIX', 'NTRA', 'PATH', 'PLTR', 'RBLX', 'ROKU', 'RXRX', 'SHOP', 'SPY', 'SQ', 'TSLA', 'TWST', 'TXG', 'VYCT']",2024-10-31T19:23:32Z,https://www.benzinga.com/etfs/broad-u-s-equity-etfs/24/10/41662950/cathie-woods-ark-innovation-genomic-etfs-celebrate-10-years-how-annual-returns-stack-u
Benzinga Newsdesk,,2024-10-31T18:35:13Z,"'Iran Preparing Major Retaliatory Strike From Iraq Within Days, Israeli Intel Suggests' - Axios",41662052,[],benzinga,,"['EIS', 'ISRA', 'SPY', 'USO']",2024-10-31T18:35:13Z,https://www.benzinga.com/economics/macro-economic-events/24/10/41662052/iran-preparing-major-retaliatory-strike-from-iraq-within-days-israeli-intel-sugge
Benzinga Newsdesk,,2024-10-31T18:08:22Z,"EIA Says U.S. Gasoline Exports Rose To 781,000 Barrels/Day In Aug (Vs 757,000 Barrels/Day In July); U.S. Total Oil Demand In Aug Down 0.3 Pct Or 57,000 Barrels/Day Versus Last Year At 20.711M Barrels/Day (Vs 2.2% Rise In July)",41661426,[],benzinga,,"['SPY', 'UNG', 'USO']",2024-10-31T18:08:23Z,https://www.benzinga.com/economics/macro-economic-events/24/10/41661426/eia-says-u-s-gasoline-exports-rose-to-781-000-barrelsday-in-aug-vs-757-000-barrel
Benzinga Newsdesk,,2024-10-31T18:07:30Z,"EIA Says U.S. Crude Oil Production Rose 195,000 Barrels/Day In Aug To 13.401M Barrels/Day (Vs Revised 13.206M Barrels/Day In July); U.S. July Oil Production Revised Up By 1,000 Barrels/Day To 13.206M Barrels/Day",41661412,[],benzinga,,"['SPY', 'USO']",2024-10-31T18:07:30Z,https://www.benzinga.com/economics/macro-economic-events/24/10/41661412/eia-says-u-s-crude-oil-production-rose-195-000-barrelsday-in-aug-to-13-401m-barre
Benzinga Newsdesk,,2024-10-31T18:06:02Z,EIA Says U.S. Crude Oil Exports Fell To 3.907M Barrels/Day In Aug (Vs 4.193M Barrels/Day In July); U.S. Total Refined Oil Product Exports Rose To 3.546M Barrels/Day In Aug (Vs 3.063M Barrels/Day In July); U.S. Distillates Fuel Exports Rose To 1.516M Barrels/Day In Aug (Vs 1.344M Barrels/Day In July),41661399,[],benzinga,,"['SPY', 'UNG', 'USO']",2024-10-31T18:06:32Z,https://www.benzinga.com/economics/macro-economic-events/24/10/41661399/eia-says-u-s-crude-oil-exports-fell-to-3-907m-barrlesday-in-aug-vs-4-193m-barrles
Piero Cingari,,2024-10-31T17:16:32Z,"Jobs Report Preview: Could October Nonfarm Payrolls Defy Hurricane Disruptions, Strikes And Election Uncertainty?",41660389,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/10/31/jobs-ai3.png'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/10/31/jobs-ai3.png'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/10/31/jobs-ai3.png'}]",benzinga,"Economists expect a deceleration in jobs growth. Recent data shows private payroll growth, offering the potential for positive surprises.","['BA', 'SPY']",2024-10-31T17:22:00Z,https://www.benzinga.com/analyst-ratings/analyst-color/24/10/41660389/jobs-report-preview-could-october-nonfarm-payrolls-defy-hurricane-disruptions-strik
Piero Cingari,,2024-10-31T17:19:49Z,"Stocks Tumble, Nasdaq 100 Selloffs As Tech Giants Disappoint, Crypto Companies Plummet: What's Driving Markets Thursday?",41660459,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/10/31/Wall-Street-Bear-AI.png'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/10/31/Wall-Street-Bear-AI.png'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/10/31/Wall-Street-Bear-AI.png'}]",benzinga,Risk aversion swept across markets on Thursday as investor disappointment over third-quarter tech earnings triggered the steepest drop in major U.S. indices in nearly two months.,"['AAPL', 'AMGN', 'AMZN', 'BKNG', 'BMY', 'BTCUSD', 'CI', 'CMCSA', 'COIN', 'COP', 'CTRA', 'CVNA', 'DIA', 'EBAY', 'ETN', 'INTC', 'IWM', 'LIN', 'LNG', 'MA', 'META', 'MO', 'MRK', 'MSFT', 'MSTR', 'NCLH', 'QQQ', 'REGN', 'SBUX', 'SO', 'SPY', 'TEAM', 'UBER', 'XLC', 'XLK', 'XLU']",2024-10-31T17:19:50Z,https://www.benzinga.com/markets/equities/24/10/41660459/stocks-tumble-nasdaq-100-selloffs-as-tech-giants-disappoint-crypto-companies-plummet-whats-drivi
Benzinga Newsdesk,,2024-10-31T17:12:31Z,"Watch; 2024 Vice Presidential Candidate of the Republican Party, JD Vance, On The Joe Rogan Experience",41660262,[],benzinga,,"['DJT', 'SPY']",2024-10-31T17:12:31Z,https://www.benzinga.com/news/24/10/41660262/watch-2024-vice-presidential-candidate-of-the-republican-party-jd-vance-on-the-joe-rogan-experience
The Arora Report,,2024-10-31T16:56:38Z,"Here Is Why Investors Do Not Like Good Earnings From Microsoft And Meta, Hotter Inflation Data",41659920,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/10/31/adam-smigielski-K5mPtONmpHM-unsplash_0.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/10/31/adam-smigielski-K5mPtONmpHM-unsplash_0.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/10/31/adam-smigielski-K5mPtONmpHM-unsplash_0.jpeg'}]",benzinga,"To gain an edge, this is what you need to know today.","['AAPL', 'AMZN', 'BTCUSD', 'GLD', 'GOOG', 'META', 'MSFT', 'NVDA', 'QQQ', 'SLV', 'SPY', 'TSLA', 'USO']",2024-10-31T16:56:40Z,https://www.benzinga.com/general/market-summary/24/10/41659920/here-is-why-investors-do-not-like-good-earnings-from-microsoft-and-meta-hotter-inflation-d
Benzinga Newsdesk,,2024-10-31T16:14:03Z,EIA Says U.S. Oil Production Rose 1.5% In August Vs July To A Record Monthly High Of 13.4M Barrels/Day,41658759,[],benzinga,,"['SPY', 'USO']",2024-10-31T16:14:04Z,https://www.benzinga.com/economics/macro-economic-events/24/10/41658759/eia-says-u-s-oil-production-rose-1-5-in-august-vs-july-to-a-record-monthly-high-o
Benzinga Newsdesk,,2024-10-31T14:30:12Z,USA Natural Gas Storage 78B Vs 79B Est.; 80B Prior,41655912,[],benzinga,,"['SPY', 'UNG']",2024-10-31T14:30:13Z,https://www.benzinga.com/economics/macro-economic-events/24/10/41655912/usa-natural-gas-storage-78b-vs-79b-est-80b-prior
Benzinga Newsdesk,,2024-10-31T13:45:10Z,USA Chicago PMI For October 41.6 Vs 46.9 Est.; 46.6 Prior,41654436,[],benzinga,,['SPY'],2024-10-31T13:45:11Z,https://www.benzinga.com/economics/macro-economic-events/24/10/41654436/usa-chicago-pmi-for-october-41-6-vs-46-9-est-46-6-prior
Benzinga Newsdesk,,2024-10-31T13:25:02Z,Democratic Senator Warner Criticizes Biden Administration For 'Apparent Lax Monitoring' Of TSMC Over Chip In Huawei Product; Warner Calls For Biden Administration To Strengthen Enforcement Of U.S. Export Controls,41653789,[],benzinga,,"['SPY', 'TSM']",2024-10-31T13:25:03Z,https://www.benzinga.com/news/24/10/41653789/democratic-senator-warner-criticizes-biden-administration-for-apparent-lax-monitoring-of-tsmc-over-c
Piero Cingari,,2024-10-31T13:04:18Z,"Fed's Favorite Inflation Metric Accelerates In September, Personal Income Rises More Than Expected (UPDATED)",41652469,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/10/31/inflation.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/10/31/inflation.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/10/31/inflation.jpeg'}]",benzinga,"Inflation concerns arise as Fed&#39;s favored index increases, potential for back-to-back rate cuts. Personal income and spending rise in September.","['SPY', 'UUP']",2024-10-31T13:04:24Z,https://www.benzinga.com/economics/macro-economic-events/24/10/41652469/feds-favorite-inflation-metric-accelerates-in-september-personal-income-rises-mor
Benzinga Newsdesk,,2024-10-31T12:31:13Z,USA Personal Spending (MoM) For September 0.5% 0.4% Est.; 0.3% Prior,41652107,[],benzinga,,['SPY'],2024-10-31T12:31:14Z,https://www.benzinga.com/economics/macro-economic-events/24/10/41652107/usa-personal-spending-mom-for-september-0-5-0-4-est-0-3-prior
Benzinga Newsdesk,,2024-10-31T12:30:39Z,USA Core PCE Price Index (MoM) For September 0.3% Vs 0.3% Est.; 0.2% Prior,41652081,[],benzinga,,['SPY'],2024-10-31T12:30:40Z,https://www.benzinga.com/economics/macro-economic-events/24/10/41652081/usa-core-pce-price-index-mom-for-september-0-3-vs-0-3-est-0-2-prior
Benzinga Newsdesk,,2024-10-31T12:30:29Z,Core PCE Price Index (YoY) (Sep) +2.7% vs +2.6% Est.,41652072,[],benzinga,,['SPY'],2024-10-31T12:30:30Z,https://www.benzinga.com/economics/macro-economic-events/24/10/41652072/core-pce-price-index-yoy-sep-2-7-vs-2-6-est
Benzinga Newsdesk,,2024-10-31T12:30:22Z,USA Initial Jobless Claims 216K Vs 229K Est.; 228K Prior,41652054,[],benzinga,,['SPY'],2024-10-31T12:30:23Z,https://www.benzinga.com/economics/macro-economic-events/24/10/41652054/usa-initial-jobless-claims-216k-vs-229k-est-228k-prior
Benzinga Newsdesk,,2024-10-31T11:30:17Z,Challenger Job Cuts For Oct. 55.597K Vs 72.821K Prior,41649446,[],benzinga,,['SPY'],2024-10-31T11:30:17Z,https://www.benzinga.com/economics/macro-economic-events/24/10/41649446/challenger-job-cuts-for-oct-55-597k-vs-72-821k-prior
Akanksha Bakshi,,2024-10-31T11:25:56Z,Asia Ex-China And Europe Markets Dip; Crude Extends Gains While Dollar Softens - Global Markets Today While US Slept,41649334,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/10/31/Macro-Shot-Of-Computer-Monitor-With-Worl.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/10/31/Macro-Shot-Of-Computer-Monitor-With-Worl.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/10/31/Macro-Shot-Of-Computer-Monitor-With-Worl.jpeg'}]",benzinga,"U.S. markets closed red on Wed. due to chip stock declines. U.S. GDP at 2.8%, private payrolls surpassed expectations. Asian markets mixed.","['ADIV', 'AGOV', 'ASHR', 'BBEU', 'BOIL', 'CQQQ', 'DBC', 'EEM', 'EEMA', 'EWU', 'EZU', 'FLAX', 'FXA', 'FXB', 'FXC', 'FXE', 'FXI', 'GLD', 'GSG', 'GXC', 'IEMG', 'IEUR', 'IEV', 'KDIV', 'SPEM', 'SPY', 'UNG', 'USDU', 'USO', 'UUP', 'VGK', 'VWO']",2024-10-31T11:25:57Z,https://www.benzinga.com/markets/asia/24/10/41649334/asia-ex-china-and-europe-markets-dip-crude-extends-gains-while-dollar-softens-global-markets-today-w
Piero Cingari,,2024-10-30T20:37:55Z,Fed's Favorite Inflation Gauge Expected To Fall In September: How Will Markets React?,41637473,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2024/10/30/inflation-ai2.png'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2024/10/30/inflation-ai2.png'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2024/10/30/inflation-ai2.png'}]",benzinga,"The Federal Reserve&#39;s preferred inflation measure, the PCE price index, is set to be released on Thursday. Expectations for continued Fed rate cuts in 2024 and 2025.","['QQQ', 'SPY']",2024-10-30T20:37:56Z,https://www.benzinga.com/analyst-ratings/analyst-color/24/10/41637473/feds-favorite-inflation-gauge-expected-to-fall-in-september-how-will-markets-react
