time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,a7adf64e8cac48f8ace15f70b270a94a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,a7adf64e8cac48f8ace15f70b270a94a,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,a16a30f889a24344a6fcd933fb6b4db6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,a16a30f889a24344a6fcd933fb6b4db6,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,c9eff7ddaa9f4964945f09c220a9aad9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,c9eff7ddaa9f4964945f09c220a9aad9,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,3401c086c59b451db7e488202e361722,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,3401c086c59b451db7e488202e361722,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,3d60010ffce846bf8e5cfe624ff24138,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,3d60010ffce846bf8e5cfe624ff24138,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,890.0,0.0
2020-04-13 09:30:00-04:00,MLTrader,80d429aefd6047628d9479acd9d7718b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,80d429aefd6047628d9479acd9d7718b,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,1352.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,c31f831ee9164953a79b4d1acfcf20ee,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,76d91ab0a533422eba9b7406cf9b098a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,c31f831ee9164953a79b4d1acfcf20ee,SPY,buy,market,fill,1,day,0.0,1,stock,291.0199890136719,3535.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,76d91ab0a533422eba9b7406cf9b098a,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,1958.0,0.0
